                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.1828,                 1.3002,                 1.4479,                 1.2694,                0.70506,                0.49555,                0.64016,                0.48263,                0.70544,                0.43567,                0.47629,                0.37666,                 1.1661,                 1.0444,                 1.4727,                 1.4366,              0.0010484,              0.0010484,              0.0010484
                     25,                 1.1599,                 1.3046,                 1.4002,                 1.2516,                0.73666,                0.51259,                0.63652,                0.47229,                0.73832,                0.43156,                0.45936,                0.37843,                  1.159,                  1.034,                 1.4674,                 1.4128,              0.0010786,              0.0010786,              0.0010786
                     26,                 1.1249,                 1.1984,                 1.3929,                 1.2588,                0.62949,                0.50533,                0.58597,                0.40652,                0.61601,                0.39057,                 0.3963,                0.32907,                 1.2082,                 1.0844,                  1.555,                 1.4045,              0.0010753,              0.0010753,              0.0010753
                     27,                 1.1935,                 1.3139,                 1.4413,                  1.289,                0.41058,                0.47559,                0.49349,                  0.359,                0.53825,                0.31425,                0.33305,                0.27537,                 1.1233,                 1.0611,                 1.7283,                 1.4092,              0.0010753,              0.0010753,              0.0010753
                     28,                 1.2195,                 1.3584,                 1.4976,                 1.2913,                0.35287,                0.52318,                0.45459,                0.33875,                0.47905,                 0.3252,                0.32642,                0.25654,                 1.1628,                 1.0744,                 1.7693,                  1.432,              0.0010612,              0.0010612,              0.0010612
                     29,                 1.1783,                 1.3091,                 1.4112,                 1.2766,                0.52414,                0.49882,                0.55898,                0.40725,                0.71134,                0.36926,                 0.3893,                0.31612,                 1.1586,                 1.1268,                 1.5811,                 1.4003,               0.001047,               0.001047,               0.001047
                     30,                 1.1149,                 1.3229,                 1.3492,                 1.2162,                0.77963,                0.44788,                0.61068,                0.45567,                0.85431,                0.39198,                0.44931,                0.36179,                 1.1303,                 1.1418,                 1.4342,                 1.3405,              0.0010329,              0.0010329,              0.0010329
                     31,                 1.1339,                 1.2584,                 1.3344,                 1.2351,                0.88905,                 0.4712,                0.66735,                0.50947,                0.86481,                0.45745,                0.48386,                0.39041,                 1.0923,                 1.0513,                 1.3855,                 1.3021,              0.0010187,              0.0010187,              0.0010187
                     32,                 1.1141,                 1.2233,                 1.3922,                 1.2546,                0.78548,                0.44304,                0.63921,                 0.4886,                0.83553,                0.41755,                0.46636,                0.37756,                 1.0498,                 1.0481,                  1.432,                 1.2823,              0.0010046,              0.0010046,              0.0010046
                     33,                  1.128,                 1.1878,                 1.3486,                 1.2784,                0.83238,                0.44908,                0.64666,                0.50179,                0.78803,                  0.436,                0.47425,                0.39389,                 1.0375,                 1.0536,                 1.3762,                 1.2898,             0.00099044,             0.00099044,             0.00099044
                     34,                 1.0981,                 1.2555,                 1.3347,                 1.2342,                0.89528,                0.49007,                0.68396,                0.52519,                0.97793,                0.44947,                0.49464,                0.41208,                 1.0041,                 1.0671,                 1.2476,                 1.2778,             0.00097629,             0.00097629,             0.00097629
                     35,                 1.1107,                 1.2463,                 1.3686,                 1.2429,                0.96087,                 0.5014,                0.67359,                0.53062,                0.94925,                0.48625,                0.50277,                0.40185,                0.99599,                 1.0438,                 1.1957,                 1.2805,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.1263,                 1.2657,                 1.3555,                 1.2464,                0.96521,                0.49074,                0.68889,                0.53927,                 0.9514,                0.48174,                0.50185,                 0.3952,                 1.0081,                 1.0258,                 1.2196,                 1.2722,               0.000948,               0.000948,               0.000948
                     37,                 1.0605,                 1.2635,                 1.2549,                 1.1755,                0.75963,                0.51942,                0.68025,                0.52421,                0.88566,                0.43679,                 0.4705,                0.38694,                 1.0323,                0.98433,                 1.3778,                 1.2995,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.0551,                 1.2471,                 1.3195,                 1.2083,                 0.8454,                 0.5225,                0.70593,                0.55156,                0.89048,                0.45118,                 0.4845,                0.39929,                0.99507,                 0.9882,                 1.3799,                 1.2834,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.0584,                 1.2008,                 1.2737,                 1.2109,                0.80038,                0.55603,                0.70457,                0.55243,                0.85204,                0.46352,                0.48996,                0.39813,                0.94506,                0.99845,                 1.3481,                 1.2589,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.0655,                 1.2227,                 1.3074,                 1.2325,                0.85338,                0.53144,                 0.7056,                0.55365,                0.95102,                0.46097,                0.49157,                0.38897,                 0.9188,                0.99503,                 1.2881,                 1.2295,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.0195,                 1.1918,                 1.2287,                 1.1882,                0.97283,                0.50758,                0.69594,                0.55222,                0.97193,                0.48099,                0.50118,                0.40881,                0.86994,                 1.0052,                 1.2159,                 1.2045,             0.00087726,             0.00087726,             0.00087726
                     42,                0.99292,                 1.2021,                 1.2072,                 1.1718,                0.92954,                0.53177,                0.71832,                0.55805,                0.96469,                0.49067,                0.50394,                0.41852,                0.91336,                0.98588,                 1.1568,                 1.2139,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.0098,                 1.1655,                 1.2819,                 1.1975,                0.83495,                0.58355,                0.73317,                0.57923,                0.95824,                0.49242,                 0.4998,                0.40865,                0.91006,                0.97791,                 1.1741,                 1.1941,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.0441,                 1.2917,                 1.2412,                 1.1799,                 0.8177,                0.58464,                0.73793,                0.57838,                0.93921,                0.49242,                0.49892,                0.39604,                0.90178,                0.98858,                 1.1643,                 1.1776,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.0123,                 1.1724,                 1.2485,                 1.2132,                0.91434,                0.52349,                0.72354,                0.57097,                 0.9514,                    0.5,                0.50401,                0.39828,                0.93205,                 1.0214,                 1.1591,                 1.2131,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.0177,                 1.2734,                 1.2457,                 1.1791,                0.90656,                0.51488,                0.68992,                0.55188,                0.94488,                0.49242,                0.50401,                0.40458,                 0.9393,                0.99982,                 1.1688,                 1.2281,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.0126,                 1.2256,                 1.2149,                 1.1824,                0.91025,                0.52399,                0.68823,                0.55344,                0.97855,                0.48614,                0.50275,                0.41752,                0.93338,                 1.0013,                 1.1666,                 1.2272,             0.00079238,             0.00079238,             0.00079238
                     48,                0.95211,                 1.1538,                 1.1673,                 1.1436,                0.90929,                0.51992,                0.68111,                0.54969,                0.95503,                0.48513,                0.50271,                0.41301,                0.91489,                 1.0033,                 1.1791,                 1.2395,             0.00077823,             0.00077823,             0.00077823
                     49,                0.97169,                 1.1923,                 1.1666,                 1.1475,                0.91555,                0.52235,                0.68283,                0.54598,                0.98466,                0.48136,                0.50211,                0.40662,                0.94557,                0.99955,                 1.1863,                 1.2607,             0.00076409,             0.00076409,             0.00076409
