                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                    nan,                    nan,                    nan,                0.04096,                0.48288,                0.15295,                0.10085,                    nan,                    nan,                    nan,             0.00090556,             0.00090556,             0.00090556
                     40,                    nan,                    nan,                    nan,                 0.0397,                0.47054,                0.15097,                0.10013,                    nan,                    nan,                    nan,             0.00089141,             0.00089141,             0.00089141
                     41,                    nan,                    nan,                    nan,                0.04023,                0.47054,                0.15264,                0.09882,                    nan,                    nan,                    nan,             0.00087726,             0.00087726,             0.00087726
                     42,                    nan,                    nan,                    nan,                0.04074,                0.47054,                0.14991,                0.09862,                    nan,                    nan,                    nan,             0.00086312,             0.00086312,             0.00086312
                     43,                    nan,                    nan,                    nan,                0.04075,                0.47054,                0.14867,                0.09821,                    nan,                    nan,                    nan,             0.00084897,             0.00084897,             0.00084897
                     44,                    nan,                    nan,                    nan,                0.04149,                0.47671,                 0.1497,                 0.0992,                    nan,                    nan,                    nan,             0.00083482,             0.00083482,             0.00083482
                     45,                    nan,                    nan,                    nan,                0.04199,                0.47671,                  0.151,                0.09967,                    nan,                    nan,                    nan,             0.00082067,             0.00082067,             0.00082067
                     46,                    nan,                    nan,                    nan,                0.04229,                0.47671,                0.15002,                0.09922,                    nan,                    nan,                    nan,             0.00080653,             0.00080653,             0.00080653
                     47,                    nan,                    nan,                    nan,                0.04346,                0.48288,                0.14688,                0.09634,                    nan,                    nan,                    nan,             0.00079238,             0.00079238,             0.00079238
                     48,                    nan,                    nan,                    nan,                0.04249,                0.47671,                0.15005,                0.09979,                    nan,                    nan,                    nan,             0.00077823,             0.00077823,             0.00077823
                     49,                    nan,                    nan,                    nan,                0.04275,                0.47671,                0.14982,                0.09899,                    nan,                    nan,                    nan,             0.00076409,             0.00076409,             0.00076409
                     50,                    nan,                    nan,                    nan,                0.04208,                0.47054,                  0.151,                0.10035,                    nan,                    nan,                    nan,             0.00074994,             0.00074994,             0.00074994
                     51,                    nan,                    nan,                    nan,                0.04417,                0.48288,                0.14882,                0.09941,                    nan,                    nan,                    nan,             0.00073579,             0.00073579,             0.00073579
                     52,                    nan,                    nan,                    nan,                0.04215,                0.47054,                0.14662,                0.09891,                    nan,                    nan,                    nan,             0.00072164,             0.00072164,             0.00072164
                     53,                    nan,                    nan,                    nan,                0.04234,                0.47054,                0.14668,                0.09899,                    nan,                    nan,                    nan,              0.0007075,              0.0007075,              0.0007075
                     54,                    nan,                    nan,                    nan,                0.04222,                0.47054,                 0.1469,                0.09829,                    nan,                    nan,                    nan,             0.00069335,             0.00069335,             0.00069335
                     55,                    nan,                    nan,                    nan,                0.04397,                0.48288,                0.15092,                 0.1012,                    nan,                    nan,                    nan,              0.0006792,              0.0006792,              0.0006792
